JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458802.64743,3.837,0.019,,V,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458802.65209,3.032,0.013,,R,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458802.65610,2.272,0.015,,I,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458805.279408,5.347,0.056,,TB,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,5.48,2.994,2458805.2843720,zet Aur,BAV,STD,1,,,
2458805.279408,3.944,0.046,,TG,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,4.255,3.172,2458805.2843720,zet Aur,BAV,STD,1,,,
2458805.279408,2.853,0.059,,TR,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,3.310,3.230,2458805.2843720,zet Aur,BAV,STD,1,,,
2458806.2258,5.271,0.015,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,2.69,Z,5.42,3.515,,ZET AUR,AAVSO,STD,,,,
2458806.2258,3.962,0.011,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,2.69,Z,4.25,3.212,,ZET AUR,AAVSO,STD,,,,
2458806.2278,5.259,0.010,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,2.64,Z,5.42,3.524,,ZET AUR,AAVSO,STD,,,,
2458806.2278,3.923,0.015,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,2.64,Z,4.25,3.178,,ZET AUR,AAVSO,STD,,,,
2458806.25868,3.6,,,Vis.,REE,,3.2,4.3,x24147cm,,,,Z,,,,zet Aur,AAVSO,STD,,,,
2458806.3000,5.266,0.028,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.64,Z,5.42,3.471,,ZET AUR,AAVSO,STD,,,,
2458806.3000,3.946,0.016,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.64,Z,4.25,3.162,,ZET AUR,AAVSO,STD,,,,
2458807.39931,4.0,,,Vis.,TTU,,4.0,"""4.3, 4.2""",A,,,,Z,,,,ZET AUR,,STD,,,,
2458808.39931,4.0,,,Vis.,TTU,,4.0,"""4.3, 4.2""",A,,,,Z,,,,ZET AUR,,STD,,,,
2458809.2767,5.304,0.018,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.78,Z,5.42,3.476,,ZET AUR,AAVSO,STD,,,,
2458809.2767,3.959,0.015,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.78,Z,4.25,3.149,,ZET AUR,AAVSO,STD,,,,
2458809.2796,5.327,0.017,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.75,Z,5.42,3.545,,ZET AUR,AAVSO,STD,,,,
2458809.2796,4.001,0.017,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.75,Z,4.25,3.229,,ZET AUR,AAVSO,STD,,,,
2458810.63874,5.481,0.017,,B,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
