JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458829.2682,5.001,0.010,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.42,Z,5.42,3.512,,ZET AUR,AAVSO,STD,,,,
2458829.2682,3.806,0.008,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.42,Z,4.25,3.227,,ZET AUR,AAVSO,STD,,,,
2458833.497243,2.650,0.052,,TR,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,3.310,3.230,2458833.5026237,zet Aur,BAV,STD,1,,,
2458833.497243,4.947,0.029,,TB,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,5.48,2.994,2458833.5026237,zet Aur,BAV,STD,1,,,
2458833.497243,3.755,0.056,,TG,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,4.255,3.172,2458833.5026237,zet Aur,BAV,STD,1,,,
2458835.28507,3.8,,,Vis.,REE,,3.2,4.3,x24147cm,,,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458835.300,3.6,,,Vis.,NJO,,NA,,NA,,,,Z,,,,ZET AUR,BAV,STD,,,,
2458835.81187,4.956,0.012,,B,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458835.81655,3.756,0.010,,V,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458835.82013,3.046,0.014,,R,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458835.82864,2.266,0.016,,I,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458836.606397,2.662,0.068,,TR,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,3.310,3.230,2458836.6117427,zet Aur,BAV,STD,1,,,
