wave_peak	wave_base	wave_top	note	flux	loggf	lower_state_eV	upper_state_eV	EW	EWR	error_f	errEWR
375.8907107043363	375.872407144454	375.98832969037454	Ti 2	-0.07439516860783582	0.28	0.607	3.904	0.10951993215554912	-3.5355684271395122	0.007090164520980792	0.030870353352517574
376.1042522362949	376.0676451165306	376.1957700357057	Ti 2	-0.1234041460472218	0.18	0.574	3.869	0.11346553661803331	-3.520444272183352	0.007743012896836669	0.04928824102265649
390.063767239763	389.99665418686175	390.1064755461548	Ti 2	0.12923571822741195	-0.29	1.131	4.308	0.04901270851101561	-3.900826907965849	0.00773850258185851	0.016606871088718573
391.3511176181423	391.2962069384958	391.3999271111613	Ti 2	0.207385854249438	-0.36	1.116	4.283	0.03943563729557883	-3.9966777148229506	0.006612881165049607	0.019102070809489342
393.2058783528688	393.1875747929866	393.2180807261237	Ti 2	0.5642168813068483	-1.59	1.131	4.283	0.01383589034766107	-4.453612890347367	0.0068194686244806854	0.055755526837325695
430.0082360892848	429.9777301561477	430.04484320904885	Ti 2	0.17866470595531325	-0.46	1.18	4.063	0.03076551497404281	-4.145412584844113	0.006851067255118816	0.005035748383478292
439.50778366813074	439.44677180185687	439.5504919745224	Ti 2	0.12728846153447584	-0.54	1.084	3.904	0.04507011456382933	-3.9890779088120922	0.0074192496638927265	0.007146589508004991
444.38873297004267	444.3399234770235	444.4375424630617	Ti 2	0.1449229017759811	-0.71	1.08	3.869	0.03383344646746404	-4.118416799558391	0.00694756027396725	0.0007911447121713422
446.8597135541355	446.8109040611164	446.8902194872725	Ti 2	0.11469697349260155	-5.981	6.971	9.745	0.030033381362319388	-4.172566972014455	0.007209173140962811	0.023527302183149332
450.1299495864165	450.09334246665213	450.17265789280816	Ti 2	0.12088962477481804	-0.77	1.116	3.869	0.027580913420531702	-4.212729264889541	0.12665502373539522	0.06991996852271574
454.95598820868173	454.9010775290353	455.0108988883284	Ti 2	0.08893465593172156	-0.22	1.584	4.308	0.04846432459337304	-3.972547220944652	0.12032569703991905	0.022999094254384872
456.3592611329817	456.33485638647204	456.42027299925553	Ti 2	0.1493939447157102	-0.69	1.221	3.937	0.022006275082923833	-4.316760330889893	0.07823127435641639	0.045424009756227214
457.20732607418887	457.1463142079149	457.25003438058053	Ti 2	0.13179946336540047	-0.31	1.572	4.283	0.03016715909390088	-4.180578767051174	0.006683971662059527	0.03657217149169665
458.3970574665299	458.3482479735106	458.4275633996666	Ti 2	0.11064627480546396	-4.8260000000000005	3.941	6.645	0.03241222540585302	-4.150532970673617	0.0062116144785668076	0.028814808616967367
