wave_peak	wave_base	wave_top	note	flux	loggf	lower_state_eV	upper_state_eV	EW	EWR	error_f	errEWR
382.05901038462747	382.004099704981	382.10781987764665	Fe 1	0.2852232155479309	0.11900000000000001	0.859	4.103	0.03624784715449965	-4.022848228538069	0.007090164520980792	0.04776646846652436
386.0003769459214	385.96376982615686	386.03698406568566	Fe 1	0.4067346649126341	-0.71	0.0	3.211	0.02862115064951592	-4.129900639163561	0.007743012896836669	0.014546937708763799
386.55558492901383	386.5433825557592	386.56168611564124	Fe 1	0.6069784115813824	-0.982	1.011	4.218	0.013029208808063618	-4.47229390810282	0.00773850258185851	0.040779185597214655
388.623887195699	388.60558363581686	388.63608956895376	Fe 1	0.2918464043016016	-1.0759999999999998	0.052	3.241	0.015864624675890917	-4.389099689421897	0.006612881165049607	0.14075787634170647
393.0228427540471	392.99843800753763	393.05944987381133	Fe 1	0.524873159092725	-1.4909999999999999	0.087	3.241	0.018133093767028614	-4.33594588528623	0.0068194686244806854	0.016867231965107293
404.5784902263237	404.554085479814	404.62729971934266	Fe 1	0.36770858595438893	0.28	1.485	4.549	0.0224053124712653	-4.256651784304353	0.006851067255118816	0.03578167096884
406.3661379081488	406.3173284151297	406.4027450279132	Fe 1	0.4274887094170114	0.062	1.557	4.608	0.0163318108050215	-4.3958831712310396	0.0074192496638927265	0.03995623601944599
429.4164209864279	429.33710556027177	429.45912929281957	Fe 1	0.24755667656598096	-1.11	1.485	4.371	0.02603734738557328	-4.217281910538133	0.00694756027396725	0.03850217719561584
430.79528916421793	430.7403784845714	430.83799747060965	Fe 1	0.2329151353775688	-0.073	1.557	4.435	0.026109049113236932	-4.217479890365863	0.007209173140962811	0.04526457503015836
438.3607605821814	438.31805227578974	438.3973677019457	Fe 1	0.2028644656089905	0.2	1.485	4.313	0.02318760286000395	-4.276575818297213	0.12665502373539522	0.044819510624315856
440.496175901768	440.4229616622392	440.52668183490476	Fe 1	0.2365476699332493	-0.142	1.557	4.371	0.026091636439634434	-4.227440824063666	0.12032569703991905	0.001113713273520686
