wave_peak	wave_base	wave_top	note	flux	loggf	lower_state_eV	upper_state_eV	EW	EWR	error_f
376.11699999997313	376.04999999997466	376.1829999999716	Ti 2	-0.0481515755441608	0.18	0.574	3.869	0.09701238048299035	-3.588495802008801	0.0
381.4429999998472	381.37999999984874	381.46499999984667	Ti 2	0.21367146332082376	-1.68	0.574	3.823	0.03296486502011909	-4.063378347611913	0.0
388.2149999996871	388.1859999996877	388.2399999996865	Ti 2	0.5765997074479537	-1.87	1.116	4.308	0.010046901387453195	-4.587040172228282	0.0
391.3329999996133	391.28199999961447	391.3799999996122	Ti 2	0.038103410657374034	-0.36	1.116	4.283	0.05324039575535636	-3.866305197179647	0.0403820264837924
401.2219999993795	401.1789999993805	401.2609999993786	Ti 2	0.15030545653877458	-1.78	0.574	3.663	0.03526769871447859	-4.056007616409543	0.04129522257038725
402.82099999934167	402.78099999934267	402.85599999934084	Ti 2	0.4803734503526572	-0.92	1.892	4.969	0.0135020519504634	-4.474712328610759	0.042208442454699714
416.1329999990269	416.086999999028	416.1649999990261	Ti 2	0.5904507811113413	-2.09	1.084	4.063	0.012541734314437874	-4.520874560999771	0.043121684624784086
417.32899999899865	417.2939999989994	417.3639999989977	Ti 2	0.3147764333205575	-1.88	1.084	4.054	0.024004768557497315	-4.240181041617204	0.044034947694084434
429.98199999869934	429.9359999987005	430.05599999869764	Ti 2	0.08456887274456862	-0.46	1.18	4.063	0.05248582555119155	-3.9134082428049464	0.044948230388703055
431.2689999986689	431.2149999986703	431.30699999866806	Ti 2	0.20037784493563796	-1.12	1.18	4.054	0.030033197311065934	-4.157146672475764	0.04475188477536697
434.4109999985946	434.36999999859563	434.4799999985929	Ti 2	0.1718018634610331	-1.91	1.084	3.937	0.029097187065046916	-4.174049807640584	0.04319820141605957
439.48099999847483	439.4209999984762	439.5359999984735	Ti 2	0.03220903668677007	-0.54	1.084	3.904	0.054444228818555526	-3.906988253468782	0.04164560317681845
440.4569999984517	439.92099999846437	440.9859999984392	Ti 2	0.0965416779132525	-1.2	1.237	4.054	0.20538002965303678	-3.3313453042116863	0.04009421611758312
441.75699999842095	441.7089999984221	441.78999999842017	Ti 2	0.1307718375093243	-1.19	1.165	3.971	0.02436612620490179	-4.258396950664489	0.03854418648706632
444.36199999835935	444.3099999983606	444.3999999983585	Ti 2	0.04179869226688488	-0.71	1.08	3.869	0.05045367174731382	-3.944844135444191	0.036995684904592326
446.83199999830094	446.7799999983022	446.8859999982997	Ti 2	0.010308389606435708	-5.981	6.971	9.745	0.057801844919098844	-3.8882025672261435	0.035639282988359285
450.1139999982233	450.04499999822497	450.1619999982222	Ti 2	0.026679794953392618	-0.77	1.116	3.869	0.055297099733094414	-3.910620167434097	0.03463312522222895
453.3789999981461	453.3299999981473	453.43499999814486	Ti 2	0.03341106155120782	-0.53	1.237	3.971	0.05141196747406088	-3.945397176116076	0.03362699582722875
454.9279999981095	454.86799999811086	455.0079999981076	Ti 2	0.0304070394056441	-0.22	1.584	4.308	0.06538324137778284	-3.8424762207440133	0.032620897428519084
456.35599999807573	456.3369999980762	456.42199999807417	Ti 2	0.053026964452320184	-0.69	1.221	3.937	0.03447793320765094	-4.121762540854203	0.031614832985342484
457.17899999805627	457.1199999980577	457.21999999805536	Ti 2	0.03848801508837979	-0.31	1.572	4.283	0.04716570113946986	-3.9864599785474546	0.03060880584589782
