wave_peak	wave_base	wave_top	note	flux	loggf	EW	EWR	error_f
376.379	376.3399999999685	376.43399999996626		0.1110952052299672	-0.23800000000000002	0.057418641720771865	-3.81657246931311	0.007090164520980792
376.719	376.6699999999608	376.7549999999587		0.17848277888127506	-0.389	0.04628775230840106	-3.9105514322565753	0.007743012896836669
378.788	378.75799999991136	378.8209999999099		0.4876681515986727	-0.8590000000000001	0.03531397136770749	-4.03044965154791	0.0077385025818585106
379.5	379.4579999998948	379.53799999989286		0.2793395881988248	-0.7609999999999999	0.04752204332914453	-3.902316674279116	0.006612881165049607
381.584	381.5499999998453	381.62999999984345		0.2731718398350777	0.237	0.04863555969514728	-3.8946362381625637	0.006819468624480685
382.043	381.9979999998348	382.1019999998323		0.06209664761995987	0.11900000000000001	0.053844567371087566	-3.850970354858545	0.006851067255118816
382.444	382.4049999998251	382.49099999982315		0.32572334467042235	-1.3619999999999999	0.04361646877785687	-3.9429173499939987	0.0074192496638927265
382.588	382.5499999998217	382.6459999998194		0.08542236739075289	-0.037000000000000005	0.053430761260768914	-3.85493998222751	0.00694756027396725
382.783	382.74299999981713	382.82299999981524		0.3349058338869235	0.062	0.040748997373138196	-3.9728357144111275	0.007209173140962811
383.423	383.3769999998021	383.4689999998		0.15393671278161036	-0.302	0.05349894641413932	-3.855332931606874	0.006957287610009304
385.082	385.0549999997625	385.114999999761		1.1559268309307111	-1.734	0.033504650886572195	-4.060448121731539	0.004763934777608315
385.637	385.5969999997496	385.6849999997476		0.3093899771286914	-1.286	0.0472593124773626	-3.9116912963994315	0.006066127115839715
385.991	385.93499999974165	386.04299999973915		0.06312391013158032	-0.71	0.06431831227931618	-3.7782425385690215	0.006683971662059527
386.553	386.5319999997275	386.590999999726		0.7350234962185211	-0.982	0.034985854253101994	-4.043316565547214	0.0062116144785668076
387.25	387.2039999997117	387.2919999997096		0.6013249717210678	-0.9279999999999999	0.03924322511124869	-3.9942267347961464	0.006551466179432572
388.62800000000004	388.59399999967883	388.66699999967705		0.09619621689465932	-1.0759999999999998	0.03325903989060791	-4.06762437956946	0.007357982178756209
388.70500000000004	388.6789999996768	388.73799999967537		0.3934178386375679	-1.1440000000000001	0.037067790802236884	-4.020623423746507	0.007418275598338981
388.852	388.81899999967345	388.97799999966975		0.054127747144741716	-0.5479999999999999	0.0018414216162237634	-5.324631100047907	0.0064722790214045995
389.566	389.5329999996565	389.598999999655		0.4068057237383945	-1.67	0.04310493147818068	-3.9560540870575456	0.007007365422087897
390.29499999999996	390.2529999996395	390.3559999996372		0.5927452470386761	-0.466	0.05020311590957411	-3.890662314718671	0.007031642853137469
390.645	390.61399999963095	390.68099999962936		0.7637729264624155	-2.2430000000000003	0.042423392325266186	-3.9641768766966146	0.006615325794187886
392.026	391.99799999959833	392.07099999959655		0.4797739501744198	-1.746	0.04857536840783422	-3.9068987682283756	0.00786205725232227
392.291	392.2589999995921	392.3399999995903		0.4120971575787359	-1.651	0.04701749082146975	-3.9213488961437646	0.010060359230875246
392.79200000000003	392.7549999995804	392.8399999995784		0.3853336785817228	-1.5219999999999998	0.04143188192678069	-3.976827973570919	0.008088860740361317
393.03000000000003	392.9469999995758	393.0769999995728		0.3054730605615191	-1.4909999999999999	0.042391019807715244	-3.9671518367731973	0.00787352675993156
400.571	400.5659999993957	400.5759999993954		0.9392900242007122	-3.0389999999999997	0.009999999999706688	-4.6026795046411255	0.0062978055678948024
404.582	404.5409999993017	404.6329999992994		0.10755764392474072	0.28	0.06166083501438496	-3.816997155275659	0.007480070384098716
406.36	406.3119999992598	406.41499999925736		0.2229587609597595	0.062	0.05391184405026138	-3.8772267645619394	0.007554134656002281
407.174	407.1389999992402	407.21699999923834		0.2665948199937261	-0.022000000000000002	0.05018139318409833	-3.9092373239950273	0.008723323622016348
420.203	420.17199999893205	420.2509999989302		0.5035683261081019	-0.708	0.04475809984529611	-3.9725875079210935	0.007302303664426674
425.079	425.0429999988169	425.12599999881485		0.4482954330713704	-0.7140000000000001	0.04024418438615693	-4.023766520095612	0.007372601786148555
427.17600000000004	427.1389999987673	427.2189999987654		0.1818798093551038	-0.16399999999999998	0.04490398997326868	-3.9783219125318654	0.008435579108195888
438.355	438.314999998503	438.4039999985009		0.07630111437728095	0.2	0.05331260508825359	-3.914996060022131	0.008983305382620592
440.475	440.43999999845283	440.52499999845077		0.15203242945596834	-0.142	0.06342804420977716	-3.8416399440085125	0.008312790987163081
