wave_peak	wave_base	wave_top	note	flux	loggf	EW	EWR	errEWR	error_f
376.132	376.0749999999748	376.2099999999716	Ti 2	-0.03177769108179672	0.18	-0.0003311318048742805	-6.055339386955177	0.1393077902841846	0.007090164520980792
381.45799999999997	381.41799999984846	381.50999999984634	Ti 2	0.3295331777648703	-1.68	0.013393048482723834	-4.454567286441784	0.1247065002340007	0.007743012896836669
388.228	388.209999999688	388.2639999996867	Ti 2	0.8604485436902636	-1.87	-0.0004242223698795696	-5.961493288833404	0.028473627586862463	0.0077385025818585106
391.346	391.30199999961474	391.3979999996125	Ti 2	0.08878555152285905	-0.36	0.007155252887566406	-4.737935911592027	0.06593402098175788	0.006612881165049607
401.23699999999997	401.2059999993805	401.28499999937867	Ti 2	0.2969963743259021	-1.78	0.0424859627589526	-3.975155510495031	0.1958307989634255	0.006819468624480685
402.83299999999997	402.80899999934263	402.87599999934105	Ti 2	0.8311167940337962	-0.92	0.016299815004108476	-4.392942365281001	0.034228219521554255	0.006851067255118816
416.15200000000004	416.09499999902846	416.1859999990264	Ti 2	0.9587974940193628	-2.09	0.034774540386794846	-4.077990587510078	0.034262738827821104	0.0074192496638927265
417.354	375.01	417.3789999989981	Ti 2	-0.09818547020633484	-1.88	-26.928298513143268	-1.1902956671963145	0.3571498366358309	0.00694756027396725
429.41	429.3479999987151	429.4519999987126	Ti 2	0.14330065544500226	-0.93	0.04824793093310544	-3.9493934601957137	0.27901983837459116	0.007209173140962811
430.005	429.9749999987002	430.0809999986977	Ti 2	0.17143567120641234	-0.46	0.01659651612099368	-4.4134565733629785	0.21988418008375926	0.006957287610009304
430.78999999999996	375.01	430.84299999867966	Ti 2	-0.09818547020633484	-1.08	-38.69348322422896	-1.046627786308689	0.3734802064713954	0.004763934777608315
431.28599999999994	431.26099999866966	431.3289999986682	Ti 2	0.3742273930870122	-1.12	0.020108005242116308	-4.331396370940507	0.18662294401835483	0.006066127115839715
434.429	434.40699999859527	434.4729999985939	Ti 2	0.3001195392163664	-1.91	0.030578997386848446	-4.152495566750112	0.11573964060531951	0.006683971662059527
439.503	439.4659999984758	439.5629999984735	Ti 2	0.08213770003116053	-0.54	0.05901998308380588	-3.8719627631798175	0.09939228080627123	0.0062116144785668076
439.97700000000003	439.94799999846435	440.0069999984629	Ti 2	0.4754787175331434	-1.2	0.01192181999518271	-4.567087413905321	0.25609361211430237	0.006551466179432572
441.77200000000005	441.7459999984218	441.7999999984206	Ti 2	0.3707448184205521	-1.19	0.013299700674139938	-4.521356319586956	0.08790365719759512	0.007357982178756209
444.38	444.34799999836036	444.44599999835816	Ti 2	0.1636788777280295	-0.71	0.033239646243470006	-4.126098111512124	0.12661561024641246	0.007418275598338981
446.849	446.81399999830205	446.8969999983001	Ti 2	0.09878777250933518	-5.981	0.009381317491787416	-4.677896956334514	0.2507507331202842	0.0064722790214045995
450.12700000000007	450.08799999822463	450.1669999982228	Ti 2	0.15310410297507934	-0.77	0.021650852690250497	-4.317860058895701	0.26121185091767896	0.007007365422087897
453.39700000000005	453.3649999981472	453.4439999981453	Ti 2	0.15044879613233572	-0.53	-0.007685640613185055	-4.770798569556556	0.15229617263995374	0.007031642853137469
454.962	454.9059999981106	455.0079999981083	Ti 2	0.10923019489456348	-0.22	0.03605901105338823	-4.100961312710986	0.25586585144348345	0.006615325794187886
456.37600000000003	456.3479999980766	456.43199999807473	Ti 2	0.18906083063527326	-0.69	0.027414384333902052	-4.221344300533444	0.00908560898011383	0.00786205725232227
457.197	457.1469999980577	457.2479999980553	Ti 2	0.1614743661819912	-0.31	0.03548200463230691	-4.110095223757181	0.3165144351002045	0.010060359230875246
458.996	458.9619999980149	459.0279999980132	Ti 2	0.5212193343391825	-1.62	0.009867564728207946	-4.667598916903476	0.04765480043026963	0.008088860740361317
