element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Fe 1	3856.371	385.6371	-1.286	0.0520	419.408	3.0	3.2660	26342.067	2.0	5.0	1.500	1.500	AO	1.41E+07	7.150	-6.220	231.247	-7.771	231.247	1.000	1.000	1083.140	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	385.6370	385.5910	385.6830		10628	10581	10673	0.644	0.571	385.6360	385.6420	10626	10632	385.6407	0.0060	-0.6775	1.000	9999.0000	0.0105	0.0141	10.9837	27294	0.678	0.050	0.0102	-4.58	101.9	6.3	62.2	0.784	1.000	0.0360	0.057	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3859.911	385.9911	-0.710	0.0000	0.000	4.0	3.2110	25898.462	4.0	9.0	1.500	1.500	AO	1.51E+07	7.180	-6.220	228.247	-7.777	228.247	1.000	1.000	2207.500	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	385.9910	385.9420	386.0410		10982	10932	11031	0.923	0.850	385.9890	385.9950	10979	10985	385.9935	0.0060	-0.9499	1.000	9999.0000	0.0021	0.0141	10.9736	27319	0.950	0.048	0.0143	-4.43	142.9	9.7	40.1	0.455	1.000	0.0360	0.085	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3865.523	386.5523	-0.982	1.0110	8154.265	1.0	4.2180	34020.465	1.0	3.0	-0.010	1.490	AO	2.04E+08	8.310	-6.160	282.266	-7.688	282.266	1.000	1.000	589.710	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	T	T	T	386.5530	386.5120	386.5980		11544	11502	11588	0.225	0.152	386.5510	386.5570	11541	11547	386.5569	0.0055	-0.2601	1.000	9999.0000	0.0097	0.0130	10.0749	29756	0.260	0.097	0.0036	-5.03	36.0	5.9	68.8	1.130	1.000	0.0331	0.006	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3872.501	387.2501	-0.928	0.9900	7984.889	2.0	4.1910	33802.695	2.0	5.0	1.000	1.500	AO	1.95E+08	8.290	-6.160	280.264	-7.691	280.264	1.000	1.000	640.150	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	387.2500	387.2010	387.3000		12241	12191	12290	0.368	0.296	387.2470	387.2530	12237	12243	387.2526	0.0054	-0.3805	1.000	9999.0000	0.0153	0.0128	9.8918	30307	0.380	0.140	0.0052	-4.87	51.8	5.4	72.6	0.951	1.000	0.0326	0.007	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3887.048	388.7048	-1.144	0.9150	7379.973	4.0	4.1030	33092.927	4.0	9.0	1.350	1.500	AO	1.95E+08	8.290	-6.160	272.257	-7.702	272.257	1.000	1.000	539.770	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	388.7050	388.7050	388.7550		13696	13695	13745	0.572	0.499	388.7050	388.7550	13695	13745	388.7132	0.0198	-0.5999	1.000	9999.0000	0.0031	0.0465	35.8741	8357	0.600	0.366	0.0297	-4.12	297.1	27.5	53.8	0.563	1.000	0.1185	0.073	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3888.513	388.8513	-0.548	1.6080	12969.395	2.0	4.7960	38682.349	2.0	5.0	0.670	1.150	AO	1.58E+08	8.200	-5.890	346.246	-7.596	346.246	1.000	1.000	560.940	s	p	F	0	1	26.0	26.000000	26.00	BWL    E 0	T	T	T	T	T	T	388.8520	388.8120	388.9020		13843	13802	13892	0.706	0.633	388.8120	388.9020	13802	13892	388.8912	0.0513	-0.9321	1.000	9999.0000	0.0005	0.1208	93.1458	3219	0.932	0.643	0.1199	-3.51	1198.9	60.7	51.7	0.561	1.000	0.3079	0.026	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3895.656	389.5656	-1.670	0.1100	887.210	1.0	3.2920	26551.771	0.0	1.0	1.500	0.000	AO	1.38E+07	7.140	-6.220	233.247	-7.768	233.247	1.000	1.000	667.100	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	389.5660	389.5200	389.6160		14557	14510	14606	0.560	0.488	389.5650	389.5730	14555	14563	389.5705	0.0080	-0.5992	1.000	9999.0000	0.0073	0.0188	14.4971	20679	0.599	0.065	0.0120	-4.51	120.2	7.7	69.1	0.831	1.000	0.0480	0.026	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3906.479	390.6479	-2.243	0.1100	887.210	1.0	3.2830	26479.181	1.0	3.0	1.500	1.500	AO	1.38E+07	7.140	-6.220	233.247	-7.768	233.247	1.000	1.000	354.330	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	390.6450	390.6120	390.6860		15636	15602	15676	0.202	0.130	390.6440	390.6510	15634	15641	390.6496	0.0063	-0.2350	1.000	9999.0000	0.0082	0.0148	11.3836	26336	0.235	0.054	0.0037	-5.02	37.1	5.4	88.4	1.071	1.000	0.0378	0.009	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3920.258	392.0258	-1.746	0.1210	975.931	0.0	3.2830	26479.181	1.0	3.0	0.000	1.500	AO	1.38E+07	7.140	-6.220	233.247	-7.768	233.247	1.000	1.000	609.200	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	392.0260	391.9950	392.0710		17017	16985	17061	0.457	0.384	392.0250	392.0290	17015	17019	392.0286	0.0040	-0.4920	1.000	9999.0000	0.0074	0.0094	7.2031	41620	0.492	0.082	0.0049	-4.90	49.3	4.4	66.3	0.745	1.000	0.0240	0.038	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3922.912	392.2912	-1.651	0.0520	419.408	3.0	3.2110	25898.462	4.0	9.0	1.500	1.500	AO	1.51E+07	7.180	-6.220	229.247	-7.775	229.247	1.000	1.000	726.070	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	392.2910	392.2500	392.3410		17282	17240	17331	0.529	0.456	392.2870	392.2930	17277	17283	392.2925	0.0060	-0.5379	1.000	9999.0000	43174.5997	0.0141	10.7974	27765	0.538	0.125	0.0081	-4.69	80.9	5.5	75.5	0.837	1.000	0.0360	0.027	0.0000	0.0000	0	0.000	False	False	False
