wave_peak	wave_base	wave_top	note	flux	loggf	lower_state_eV	upper_state_eV	EW	EWR	errEWR	error_f
376.36099999996736	376.3179999999683	376.4099999999662	Fe 1	0.07417636095537893	-0.23800000000000002	0.99	4.283	0.04569154601693111	-3.915768760721261	0.036971247561773925	0.0
376.70299999995933	376.65999999996035	376.7349999999585	Fe 1	0.10963750453562784	-0.389	1.011	4.301	0.03681134275441677	-4.010017419523136	0.0812575304635637	0.0
378.7769999999103	378.7359999999112	378.7979999999097	Fe 1	0.3232109096592023	-0.8590000000000001	1.011	4.283	0.016416010580781664	-4.363115976661289	0.30905908732519966	0.0
379.4849999998935	379.4489999998944	379.5119999998929	Fe 1	0.1769819202091517	-0.7609999999999999	0.99	4.256	0.025912496276423915	-4.1656853614076885	0.1492079877063623	0.0403820264837924
379.9369999998828	379.88699999988404	379.97399999988187	Fe 1	0.13144264465639466	-0.846	0.958	4.22	0.02602400705767114	-4.16433742114008	0.3357695962244056	0.04129522257038725
381.5709999998442	381.52499999984525	381.6149999998431	Fe 1	0.1858601654171549	0.237	1.485	4.733	0.04038683474331371	-3.9753355428831347	0.005671058511872885	0.042208442454699714
382.0169999998336	381.97099999983465	382.08199999983214	Fe 1	0.04122747787064047	0.11900000000000001	0.859	4.103	0.054713854313609867	-3.8439853800235464	0.07640732154682356	0.043121684624784086
382.4309999998238	382.3869999998249	382.466999999823	Fe 1	0.22447160386760787	-1.3619999999999999	0.0	3.241	0.037943610233123926	-4.003414438625949	0.036368436767551214	0.044034947694084434
382.5719999998205	382.51799999982177	382.64599999981874	Fe 1	0.056720144225698876	-0.037000000000000005	0.915	4.154	0.05109583549604356	-3.874327676412532	0.006139986389853632	0.044948230388703055
382.7669999998159	382.719999999817	382.7949999998152	Fe 1	0.2292260479945645	0.062	1.557	4.796	0.03410509020308091	-4.050115285795858	0.039026208771555916	0.04475188477536697
383.40199999980086	383.3629999998018	383.4379999998	Fe 1	0.1044396142890926	-0.302	0.958	4.191	0.035719485559807654	-4.030749178572972	0.3053004165346558	0.04319820141605957
385.0669999997615	385.02999999976237	385.10999999976053	Fe 1	0.8011559163893879	-1.734	0.99	4.209	0.0007889048731392181	-5.688511662706609	5.0682475474630175	0.04164560317681845
385.62199999974837	385.5759999997495	385.8449999997431	Fe 1	0.2115819879470454	-1.286	0.052	3.266	0.040672965300360055	-3.976855966533904	0.03440081045751716	0.04009421611758312
385.9699999997402	385.9099999997416	386.02199999973885	Fe 1	0.039729422381864124	-0.71	0.0	3.211	0.05855576906868121	-3.818983860549426	0.00019099215943561384	0.03854418648706632
386.53699999972673	386.5049999997275	386.5759999997258	Fe 1	0.5088385203078135	-0.982	1.011	4.218	0.021327059963920564	-4.258260081646356	0.024411400345385154	0.036995684904592326
387.23299999971033	387.1799999997115	387.27799999970915	Fe 1	0.4138710155985933	-0.9279999999999999	0.99	4.191	0.02756433230054709	-4.1476248839016145	0.0006385743492993722	0.035639282988359285
