wave_peak	wave_base	wave_top	note	flux	loggf	EW	EWR	error_f
376.132	376.0749999999748	376.2099999999716		-0.03177769108179672	0.18	0.09123762356067024	-3.6151663184431855	0.04383888228101345
381.45799999999997	381.41799999984846	381.50999999984634		0.3295331777648703	-1.68	0.030625194745167547	-4.095367868368642	0.04475258266699444
388.228	388.209999999688	388.2639999996867		0.8604485436902636	-1.87	0.008919963659637825	-4.638723769571799	0.045666337574412484
391.346	391.30199999961474	391.3979999996125		0.08878555152285905	-0.36	0.049180927003199516	-3.9007641887713227	0.04419655047070602
401.23699999999997	401.2059999993805	401.28499999937867		0.2969963743259021	-1.78	0.03534980424449615	-4.055013961424326	0.04265340426584662
402.83299999999997	402.80899999934263	402.87599999934105		0.8311167940337962	-0.92	0.012033086098147634	-4.524748016516731	0.041112150036865774
416.15200000000004	416.09499999902846	416.1859999990264		0.9587974940193628	-2.09	0.01532724493658381	-4.433787888478108	0.03957300884534458
417.354	375.01	417.3789999989981		-0.09818547020633484	-1.88	-11.538874559111276	-1.5583411281229933	0.03803623720513925
429.41	429.3479999987151	429.4519999987126		0.14330065544500226	-0.93	0.042444785087173684	-4.005047815028383	0.036502134397997314
430.005	429.9749999987002	430.0809999986977		0.17143567120641234	-0.46	0.041503394397678306	-4.0153898881017716	0.03542427500483922
430.78999999999996	375.01	430.84299999867966		-0.09818547020633484	-1.08	-22.37425860725677	-1.2845169599350195	0.034411219047703334
431.28599999999994	431.26099999866966	431.3289999986682		0.3742273930870122	-1.12	0.023083861611960924	-4.271456898672674	0.033398197335886316
434.429	434.40699999859527	434.4729999985939		0.3001195392163664	-1.91	0.020592495474464123	-4.324209829356356	0.03238521308300789
439.503	439.4659999984758	439.5629999984735		0.08213770003116053	-0.54	0.055087671885755425	-3.9019074252519212	0.031372269917621286
439.97700000000003	439.94799999846435	440.0069999984629		0.4754787175331434	-1.2	0.009951621201132133	-4.645536137475266	0.030359371952390312
441.77200000000005	441.7459999984218	441.7999999984206		0.3707448184205521	-1.19	0.014058304146954708	-4.497265251435377	0.028191681291823582
444.38	444.34799999836036	444.44599999835816		0.1636788777280295	-0.71	0.04153537480049225	-4.029336370884474	0.0256966582153912
446.849	446.81399999830205	446.8969999983001		0.09878777250933518	-5.981	0.036343629249935214	-4.089732496880312	0.0232210658967335
450.12700000000007	450.08799999822463	450.1669999982228		0.15310410297507934	-0.77	0.0368180191286065	-4.087274645014243	0.02077185277930637
453.39700000000005	453.3649999981472	453.4439999981453		0.15044879613233572	-0.53	0.02722619118861146	-4.221491752287034	0.018359579051624445
454.962	454.9059999981106	455.0079999981083		0.10923019489456348	-0.22	0.04957425049638241	-3.962718967482772	0.016000960176922114
456.37600000000003	456.3479999980766	456.43199999807473		0.18906083063527326	-0.69	0.029482093924150167	-4.189764472138702	0.018198589626904942
457.197	457.1469999980577	457.2479999980553		0.1614743661819912	-0.31	0.038172773062212964	-4.078349661582154	0.02275924241539235
458.996	458.9619999980149	459.0279999980132		0.5212193343391825	-1.62	0.008668034860779734	-4.72388825153874	0.027415716889446582
