wave_peak	wave_base	wave_top	note	flux	loggf	lower_state_eV	upper_state_eV	EW	EWR	errEWR	error_f
376.11699999997313	376.0749999999741	376.2099999999709	Ti 2	-0.0481515755441608	0.18	0.574	3.869	0.08661454820567323	-3.6377321190304213	0.03422206529260053	0.0
381.4429999998472	381.4179999998478	381.50999999984566	Ti 2	0.21367146332082376	-1.68	0.574	3.823	0.008769414833512798	-4.638459034725028	0.1785029052310649	0.04164560317681845
391.3329999996133	391.30199999961405	391.39799999961184	Ti 2	0.038103410657374034	-0.36	1.116	4.283	0.041163125414155184	-3.978038130017579	0.01609457803847366	0.03934962084512892
395.8199999995072	395.81899999950724	395.828999999507	Ti 2	0.7287807464517715	-5.223	7.363	10.495	0.0020344078343013613	-5.289059714868014	0.09450051719604052	0.04204087078671469
429.98199999869934	429.9749999986997	430.08099999869705	Ti 2	0.08456887274456862	-0.46	1.18	4.063	0.026996755386093103	-4.2021387039582745	0.18892858480568997	0.06699463241038378
431.2689999986689	431.2609999986692	431.32899999866754	Ti 2	0.20037784493563796	-1.12	1.18	4.054	-0.00030376867132194334	-6.152205260196928	0.01732849606574027	0.06507662323865282
439.48099999847483	439.4659999984751	439.56299999847283	Ti 2	0.03220903668677007	-0.54	1.084	3.904	0.04042794341863684	-4.036258454834249	0.13052702727211415	0.047221611385078716
444.36199999835935	444.3479999983597	444.44599999835737	Ti 2	0.04179869226688488	-0.71	1.08	3.869	0.03048052220645655	-4.163714509521647	0.11264916208353686	0.0485290589592231
446.83199999830094	446.81399999830137	446.8969999982994	Ti 2	0.010308389606435708	-5.981	6.971	9.745	0.03679052827834675	-4.0844082437302	0.13454491336958502	0.04834010200798596
454.9279999981095	454.90599999810996	455.0079999981076	Ti 2	0.0304070394056441	-0.22	1.584	4.308	0.05129058882246692	-3.947904982844734	0.08318624510478802	0.04758341013256498
456.35599999807573	456.34799999807586	456.43199999807393	Ti 2	0.053026964452320184	-0.69	1.221	3.937	0.01906323337472599	-4.379107200247692	0.1320231900469426	0.047212806881738914
457.17899999805627	457.146999998057	457.2479999980546	Ti 2	0.03848801508837979	-0.31	1.572	4.283	0.04180310964703235	-4.038877684107303	0.04165991325448627	0.047031001312910985
