wave_peak	wave_base	wave_top	note	flux	loggf	lower_state_eV	upper_state_eV	EW	EWR	errEWR	error_f	loggf_klaus
376.11699999997313	376.04999999997466	376.1829999999716	Ti 2	-0.0481515755441608	0.18	0.574	3.869	0.09631874807314693	-3.5916121343126037	0.013585036434287526	0.0
381.4429999998472	381.37999999984874	381.46499999984667	Ti 2	0.21367146332082376	-1.68	0.574	3.823	0.026618620916336405	-4.15624409804116	0.1723574706989037	0.0	-1.69
388.2149999996871	388.1859999996877	388.2399999996865	Ti 2	0.5765997074479537	-1.87	1.116	4.308	0.009254781940426688	-4.62270612137496	0.05856916941274453	0.0	-1.71
391.3329999996133	391.28199999961447	391.3799999996122	Ti 2	0.038103410657374034	-0.36	1.116	4.283	0.05028488026870283	-3.8911090518796554	0.06289409443119807	0.0403820264837924	-0.53
401.2219999993795	401.1789999993805	401.2609999993786	Ti 2	0.15030545653877458	-1.78	0.574	3.663	0.03471242436898353	-4.062899791923329	0.014079808862946588	0.04129522257038725	
402.82099999934167	402.78099999934267	402.85599999934084	Ti 2	0.4803734503526572	-0.92	1.892	4.969	0.011283106647745955	-4.552683410151155	0.09899840752846792	0.042208442454699714	
416.1329999990269	416.086999999028	416.1649999990261	Ti 2	0.5904507811113413	-2.09	1.084	4.063	0.0123977531612262	-4.525889172075885	0.005578373221740574	0.043121684624784086	
417.32899999899865	417.2939999989994	417.3639999989977	Ti 2	0.3147764333205575	-1.88	1.084	4.054	0.02364990626095212	-4.246649140980296	0.011851338332117822	0.044034947694084434	
429.98199999869934	429.9359999987005	430.05599999869764	Ti 2	0.08456887274456862	-0.46	1.18	4.063	0.0474627281023421	-3.957097578088889	0.07315872324616958	0.044948230388703055	-0.75
431.2689999986689	431.2149999986703	431.30699999866806	Ti 2	0.20037784493563796	-1.12	1.18	4.054	0.02793524149923096	-4.1885958116184705	0.046284128434984195	0.04475188477536697	-1.31
434.4109999985946	434.36999999859563	434.4799999985929	Ti 2	0.1718018634610331	-1.91	1.084	3.937	0.019740570756632617	-4.342541108551461	0.2028893003359474	0.04319820141605957	-2.08
439.48099999847483	439.4209999984762	439.5359999984735	Ti 2	0.03220903668677007	-0.54	1.084	3.904	0.05298626583988971	-3.9187767899677324	0.02229654697434638	0.04164560317681845	-1.87
440.4569999984517	439.92099999846437	440.9859999984392	Ti 2	0.0965416779132525	-1.2	1.237	4.054	0.11940808532308142	-3.566869781835539	0.06525936454222782	0.04009421611758312	-1.45
441.75699999842095	441.7089999984221	441.78999999842017	Ti 2	0.1307718375093243	-1.19	1.165	3.971	0.02067972749871208	-4.329638628315761	0.11028843107384181	0.03854418648706632	-1.42
444.36199999835935	444.3099999983606	444.3999999983585	Ti 2	0.04179869226688488	-0.71	1.08	3.869	0.04840229950004307	-3.9628709181585595	0.05045394394526175	0.036995684904592326	-0.81
446.83199999830094	446.7799999983022	446.8859999982997	Ti 2	0.010308389606435708	-5.981	6.971	9.745	0.057045864201157225	-3.893920103931844	0.013976438696336774	0.035639282988359285	-0.77
450.1139999982233	450.04499999822497	450.1619999982222	Ti 2	0.026679794953392618	-0.77	1.116	3.869	0.054517807364167586	-3.9167841403582417	0.011521626706209901	0.03463312522222895	-0.86
453.3789999981461	453.3299999981473	453.43499999814486	Ti 2	0.03341106155120782	-0.53	1.237	3.971	0.04975114665156609	-3.9596583055237353	0.02969239653413953	0.03362699582722875	-0.76
454.9279999981095	454.86799999811086	455.0079999981076	Ti 2	0.0304070394056441	-0.22	1.584	4.308	0.06376631365507282	-3.8533513566435484	0.01826626206108033	0.032620897428519084	
456.35599999807573	456.3369999980762	456.42199999807417	Ti 2	0.053026964452320184	-0.69	1.221	3.937	0.03061505438207219	-4.173368729627639	0.09828327233465936	0.031614832985342484	-0.95
457.17899999805627	457.1199999980577	457.21999999805536	Ti 2	0.03848801508837979	-0.31	1.572	4.283	0.04687570788599489	-3.989138434140132	0.005434848249279027	0.03060880584589782	-0.53
