wave_peak	wave_base	wave_top	note	flux	loggf	lower_state_eV	upper_state_eV	EW	EWR	error_f
376.36099999996736	376.3179999999683	376.4099999999662	Fe 1	0.07417636095537893	-0.23800000000000002	0.99	4.283	0.0473353109513118	-3.900419379397473	0.0
376.70299999995933	376.65999999996035	376.7349999999585	Fe 1	0.10963750453562784	-0.389	1.011	4.301	0.03934776462167801	-3.9810790140907346	0.0
378.7769999999103	378.7359999999112	378.7979999999097	Fe 1	0.3232109096592023	-0.8590000000000001	1.011	4.283	0.022460645115507587	-4.226961374086141	0.0
379.4849999998935	379.4489999998944	379.5119999998929	Fe 1	0.1769819202091517	-0.7609999999999999	0.99	4.256	0.029394803732826096	-4.110924049323275	0.0403820264837924
379.9369999998828	379.88699999988404	379.97399999988187	Fe 1	0.13144264465639466	-0.846	0.958	4.22	0.037582308367935274	-4.004728137520185	0.04129522257038725
381.5709999998442	381.52499999984525	381.6149999998431	Fe 1	0.1858601654171549	0.237	1.485	4.733	0.040646111894040854	-3.9725563518309523	0.042208442454699714
382.0169999998336	381.97099999983465	382.08199999983214	Fe 1	0.04122747787064047	0.11900000000000001	0.859	4.103	0.059071370073945986	-3.8107056459235396	0.043121684624784086
382.4309999998238	382.3869999998249	382.466999999823	Fe 1	0.22447160386760787	-1.3619999999999999	0.0	3.241	0.039265116843703325	-3.9885461949560703	0.044034947694084434
382.5719999998205	382.51799999982177	382.64599999981874	Fe 1	0.056720144225698876	-0.037000000000000005	0.915	4.154	0.05159266329127963	-3.8701252339561343	0.044948230388703055
382.7669999998159	382.719999999817	382.7949999998152	Fe 1	0.2292260479945645	0.062	1.557	4.796	0.035394910303250385	-4.033993672221421	0.04475188477536697
383.40199999980086	383.3629999998018	383.4379999998	Fe 1	0.1044396142890926	-0.302	0.958	4.191	0.04388253065202743	-3.941362709168155	0.04319820141605957
385.0669999997615	385.02999999976237	385.10999999976053	Fe 1	0.8011559163893879	-1.734	0.99	4.209	0.01120761996261551	-4.536022905347323	0.04164560317681845
385.62199999974837	385.5759999997495	385.8449999997431	Fe 1	0.2115819879470454	-1.286	0.052	3.266	0.047753305561845844	-3.907158363201799	0.04009421611758312
