wave_peak	wave_base	wave_top	note	flux	loggf	EW	EWR	errEWR	error_f
376.379	376.3399999999685	376.43399999996626	Fe 1	0.1110952052299672	-0.23800000000000002	0.03708912015400617	-4.006378853139398	0.017936830686016793	0.0
376.719	376.6699999999608	376.7549999999587	Fe 1	0.17848277888127506	-0.389	0.03235395102988776	-4.066090200781337	0.03351746646086315	0.0
378.788	378.75799999991136	378.8209999999099	Fe 1	0.4876681515986727	-0.8590000000000001	0.005320531985980951	-4.852441153676791	0.1759157595956422	0.0
379.5	379.4579999998948	379.53799999989286	Fe 1	0.2793395881988248	-0.7609999999999999	0.022771665571511165	-4.221816983166546	0.09090524650766131	0.0403820264837924
381.584	381.5499999998453	381.62999999984345	Fe 1	0.2731718398350777	0.237	0.02725181449337174	-4.146194732259383	0.08037742479367331	0.04129522257038725
382.043	381.9979999998348	382.1019999998323	Fe 1	0.06209664761995987	0.11900000000000001	0.042887601241446	-3.9497804904412126	0.14115015540134485	0.042208442454699714
382.444	382.4049999998251	382.49099999982315	Fe 1	0.32572334467042235	-1.3619999999999999	0.030300976013125407	-4.101111234231053	0.005287751221848221	0.043121684624784086
382.588	382.5499999998217	382.6459999998194	Fe 1	0.08542236739075289	-0.037000000000000005	0.037875473425049225	-4.004373274099187	0.06489149485815685	0.044034947694084434
382.783	382.74299999981713	382.82299999981524	Fe 1	0.3349058338869235	0.062	0.027889891264020694	-4.137505820766899	0.011630111518152034	0.044948230388703055
383.423	383.3769999998021	383.4689999998	Fe 1	0.15393671278161036	-0.302	0.017875684934013397	-4.331415469454045	0.44934205584639764	0.04475188477536697
385.082	385.0549999997625	385.114999999761	Fe 1	1.1559268309307111	-1.734	0.005818704035701427	-4.820726951072751	0.021028012899124596	0.04319820141605957
385.637	385.5969999997496	385.6849999997476	Fe 1	0.3093899771286914	-1.286	0.029715269937180724	-4.113199015882449	0.09382802352063245	0.04164560317681845
385.991	385.93499999974165	386.04299999973915	Fe 1	0.06312391013158032	-0.71	0.05239018354225201	-3.867327258571237	0.03508795491887158	0.04009421611758312
386.553	386.5319999997275	386.590999999726	Fe 1	0.7350234962185211	-0.982	0.007313299677705445	-4.723095678225686	0.09543358292555494	0.03854418648706632
387.25	387.2039999997117	387.2919999997096	Fe 1	0.6013249717210678	-0.9279999999999999	0.023588463684344023	-4.215291770206062	0.0336340246539083	0.036995684904592326
388.62800000000004	388.59399999967883	388.66699999967705	Fe 1	0.09619621689465932	-1.0759999999999998	0.02538597530893795	-4.184940234275971	0.13095309145846598	0.035639282988359285
388.70500000000004	388.6789999996768	388.73799999967537	Fe 1	0.3934178386375679	-1.1440000000000001	0.006100367520647733	-4.804264126939744	0.059488152083424506	0.03463312522222895
388.852	388.81899999967345	388.97799999966975	Fe 1	0.054127747144741716	-0.5479999999999999	0.10503410623841562	-3.568453992753199	0.047924064520369104	0.03362699582722875
389.566	389.5329999996565	389.598999999655	Fe 1	0.4068057237383945	-1.67	0.020995893062816778	-4.268446693975799	0.0732165772345116	0.032620897428519084
390.29499999999996	390.2529999996395	390.3559999996372	Fe 1	0.5927452470386761	-0.466	0.021838804145463353	-4.2521641341661685	0.031918890607908694	0.031614832985342484
390.645	390.61399999963095	390.68099999962936	Fe 1	0.7637729264624155	-2.2430000000000003	0.010573196690933965	-4.567575958626318	0.0561085040345091	0.03060880584589782
392.026	391.99799999959833	392.07099999959655	Fe 1	0.4797739501744198	-1.746	0.012568683817532168	-4.494025070213519	0.05963394636540887	0.02921821501341568
392.291	392.2589999995921	392.3399999995903	Fe 1	0.4120971575787359	-1.651	0.018601773615525896	-4.324053989907157	0.0796520192427659	0.02668664886755437
392.79200000000003	392.7549999995804	392.8399999995784	Fe 1	0.3853336785817228	-1.5219999999999998	0.024082115270542746	-4.212468003082683	0.039406782808009314	0.02416613770535819
393.03000000000003	392.9469999995758	393.0769999995728	Fe 1	0.3054730605615191	-1.4909999999999999	0.034049257313497276	-4.062318057892113	0.047396319484783914	0.021660541083102502
400.571	400.5659999993957	400.5759999993954	Fe 1	0.9392900242007122	-3.0389999999999997	0.0009437939193137551	-5.627802329689892	0.08628009328815521	0.019175706324290925
404.582	404.5409999993017	404.6329999992994	Fe 1	0.10755764392474072	0.28	0.03411192120292293	-4.074100377135526	0.07777762655393536	0.016720892041466363
406.36	406.3119999992598	406.41499999925736	Fe 1	0.2229587609597595	0.062	0.032441037821894156	-4.097816212367362	0.019792292172628248	0.015346744229922275
407.174	407.1389999992402	407.21699999923834	Fe 1	0.2665948199937261	-0.022000000000000002	0.022255828011833394	-4.262336281913815	0.06074880353764014	0.019948190190971986
420.203	420.17199999893205	420.2509999989302	Fe 1	0.5035683261081019	-0.708	0.013865911919921307	-4.481510711572065	0.06596591255316245	0.024641062661587144
425.079	425.0429999988169	425.12599999881485	Fe 1	0.4482954330713704	-0.7140000000000001	0.009900612636506642	-4.632807581244848	0.048582278030468856	0.029381585900864367
427.17600000000004	427.1389999987673	427.2189999987654	Fe 1	0.1818798093551038	-0.16399999999999998	0.024445229919597997	-4.242412718393122	0.08795540981713827	0.03414992173882707
438.355	438.314999998503	438.4039999985009	Fe 1	0.07630111437728095	0.2	0.030568991397338142	-4.156544854885834	0.05108923330895134	0.03893585318503616
440.475	440.43999999845283	440.52499999845077	Fe 1	0.15203242945596834	-0.142	0.022584378854378365	-4.290113113717388	0.0903298165123321	0.04344174495125118
