element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Fe 2	3938.293	393.8293	-4.073	1.6710	13477.524	2.5	4.8180	38859.791	2.5	6.0	1.610	1.650	AO	2.95E+08	8.470	-6.660	206.235	-7.819	206.235	1.000	0.860	62.280	d	p	F	0	2	26.1	26.000000	26.01	RU	T	T	T	T	T	T	393.8290	393.8090	393.8790		18820	18799	18869	0.000	-0.119	393.8090	393.8790	18799	18869	393.8390	0.0016	-0.0001	1.000	0.0000	0.0149	0.0037	2.8519	105121	0.025	-0.316	0.0001	-6.60	1.0	10.2	94.2	1.146	1.000	0.0700	0.181	0.0000	0.0000	0	0.000	False	False	False
Fe 2	4233.162	423.3162	-1.900	2.5830	20833.300	2.5	5.5110	44449.213	3.5	8.0	1.580	1.400	AO	3.63E+08	8.560	-6.540	186.309	-7.877	186.309	1.000	0.910	140.780	s	p	F	0	2	26.1	26.000000	26.01	T83av  E0.	T	T	T	T	T	T	423.3160	423.2670	423.3660		48307	48257	48356	0.637	0.553	423.3140	423.3190	48304	48309	423.3170	0.0050	-0.0156	1.000	0.0050	74392.7279	0.0180	12.7386	23534	0.652	0.034	0.0139	-4.48	139.3	3.7	77.0	0.478	1.000	0.0300	0.015	0.0000	0.0000	0	0.000	False	False	False
Fe 2	4258.148	425.8148	-3.478	2.7040	21809.231	1.5	5.6150	45288.030	1.5	4.0	1.720	0.450	AO	2.88E+08	8.460	-6.540	180.249	-7.880	180.249	1.000	0.740	49.320	s	p	F	0	2	26.1	26.000000	26.01	RU	T	T	T	T	T	T	425.8160	425.7860	425.8660		50807	50776	50856	0.261	0.178	425.8150	425.8190	50805	50809	425.8181	0.0040	-0.0052	1.000	0.0040	110686.7885	0.0144	10.1310	29592	0.269	0.029	0.0046	-4.97	46.0	2.1	136.2	0.799	1.000	0.0240	0.004	0.0000	0.0000	0	0.000	False	False	False
Cr 1	4351.762	435.1762	-0.480	1.0300	8307.510	4.0	3.8780	31278.180	5.0	11.0	1.500	1.400	AO	1.32E+07	7.120	-5.780	252.244	-7.733	252.244	1.000	0.910	131.570	s	p	F	0	1	24.0	24.000000	24.00	SLS    E 0	T	T	T	T	T	T	435.1760	435.1330	435.2260		60167	60123	60216	0.814	0.730	435.1740	435.1790	60164	60169	435.1771	0.0050	-0.0199	1.000	0.0050	0.0093	0.0180	12.3914	24194	0.831	0.051	0.0177	-4.39	177.4	2.9	87.7	0.309	1.000	0.0300	0.016	0.0000	0.0000	0	0.000	False	False	False
Fe 2	4522.628	452.2628	-2.030	2.8440	22938.407	2.5	5.5850	45046.063	1.5	4.0	1.020	1.150	AO	3.63E+08	8.560	-6.530	186.300	-7.875	186.300	1.000	0.860	112.990	s	p	F	0	2	26.1	26.000000	26.01	KK     E0.	T	T	T	T	T	T	452.2630	452.2140	452.3130		77254	77204	77303	0.767	0.683	452.2610	452.2670	77251	77257	452.2649	0.0060	-0.0227	1.000	0.0060	0.0059	0.0216	14.3079	20953	0.789	0.050	0.0202	-4.35	202.3	3.4	91.7	0.352	1.000	0.0360	0.015	0.0000	0.0000	0	0.000	False	False	False
Ba 2	4554.029	455.4029	0.170	0.0000	0.000	0.5	2.7220	21954.411	1.5	4.0	99.000	1.320	AO	1.00E+05	0.000	0.000	303.222	-7.651	303.222	1.000	0.940	189.650	s	p	F	0	2	56.1	56.000000	56.01	MW	T	T	T	F	T	T	455.4030	455.3540	455.4530		80394	80344	80443	0.719	0.636	455.4030	455.4060	80393	80396	455.4030	0.0030	-0.0112	1.000	0.0030	54966.3853	0.0108	7.1047	42197	0.779	0.061	0.0100	-4.66	99.8	1.6	99.3	0.330	1.000	0.0180	0.064	0.0000	0.0000	0	0.000	False	False	False
Fe 2	4583.829	458.3829	-1.860	2.8070	22639.982	4.5	5.5110	44449.213	3.5	8.0	1.310	1.400	AO	3.63E+08	8.560	-6.530	185.307	-7.879	185.307	1.000	0.870	130.300	s	p	F	0	2	26.1	26.000000	26.01	T83av  E0.	T	T	T	T	T	T	458.3830	458.3830	458.4330		83374	83374	83423	0.758	0.675	458.3840	458.4330	83374	83423	458.3893	0.0000	-0.0835	1.000	0.0344	0.0055	0.0687	44.9389	6671	0.773	0.463	0.0000	-11.69	0.0	12.0	74.8	0.422	1.000	0.0490	0.005	0.0000	0.0000	0	0.000	False	False	False
Fe 2	4629.331	462.9331	-2.330	2.8070	22639.982	4.5	5.4840	44231.443	4.5	10.0	1.310	1.320	AO	2.88E+08	8.460	-6.530	178.257	-7.886	178.257	1.000	0.840	96.570	s	p	F	0	2	26.1	26.000000	26.01	T83av  E0.	T	T	T	T	T	T	462.9340	462.9060	462.9790		87925	87896	87969	0.578	0.495	462.9290	462.9370	87919	87927	462.9342	0.0080	-0.0225	1.000	0.0080	0.0072	0.0288	18.6375	16085	0.588	0.043	0.0201	-4.36	201.0	3.9	117.5	0.592	1.000	0.0480	0.010	0.0000	0.0000	0	0.000	False	False	False
