wave_peak	wave_base	wave_top	note	flux	loggf	EW	EWR	errEWR	error_f
376.132	376.0749999999748	376.2099999999716	Ti 2	-0.03177769108179672	0.18	0.08467639528783952	-3.6475779216256794	0.04458784320052959	0.0
381.45799999999997	381.41799999984846	381.50999999984634	Ti 2	0.3295331777648703	-1.68	0.011280183546402305	-4.5291305610603345	0.12254949938078757	0.0
388.228	388.209999999688	388.2639999996867	Ti 2	0.8604485436902636	-1.87	0.0024519747854625	-5.1995708547516815	0.004024456131882208	0.0
391.346	391.30199999961474	391.3979999996125	Ti 2	0.08878555152285905	-0.36	0.038803775948218926	-4.00368691087832	0.011675636735055514	0.0403820264837924
401.23699999999997	401.2059999993805	401.28499999937867	Ti 2	0.2969963743259021	-1.78	0.023440383331452687	-4.2334362649618775	0.0744150907559868	0.04129522257038725
402.83299999999997	402.80899999934263	402.87599999934105	Ti 2	0.8311167940337962	-0.92	0.005041033029258719	-4.902605497677036	0.054729091369703706	0.042208442454699714
416.15200000000004	416.09499999902846	416.1859999990264	Ti 2	0.9587974940193628	-2.09	0.010576151950800349	-4.594924304337943	0.011795470155144445	0.043121684624784086
417.354	375.01	417.3789999989981	Ti 2	-0.09818547020633484	-1.88	-19.252567077269774	-1.336015935040336	0.39744877483090985	0.044034947694084434
429.41	429.3479999987151	429.4519999987126	Ti 2	0.14330065544500226	-0.93	0.04644428150750884	-3.965939905230543	0.033505461053290456	0.044948230388703055
430.005	429.9749999987002	430.0809999986977	Ti 2	0.17143567120641234	-0.46	0.02471414011256352	-4.240528000981208	0.2200296825265951	0.04475188477536697
430.78999999999996	375.01	430.84299999867966	Ti 2	-0.09818547020633484	-1.08	-41.04153703218249	-1.0210419963744604	0.28628831772973	0.04319820141605957
431.28599999999994	431.26099999866966	431.3289999986682	Ti 2	0.3742273930870122	-1.12	-3.6984451382206566e-05	-7.066746179842649	0.046504024167414476	0.04164560317681845
434.429	434.40699999859527	434.4729999985939	Ti 2	0.3001195392163664	-1.91	0.009956745790966717	-4.639801389417821	0.12896556016133637	0.04009421611758312
439.503	439.4659999984758	439.5629999984735	Ti 2	0.08213770003116053	-0.54	0.037438943693460916	-4.069638256861226	0.1535230340953442	0.03854418648706632
439.97700000000003	439.94799999846435	440.0069999984629	Ti 2	0.4754787175331434	-1.2	0.0029609444750188624	-5.171999710758343	0.10619759309254004	0.036995684904592326
441.77200000000005	441.7459999984218	441.7999999984206	Ti 2	0.3707448184205521	-1.19	0.014140289541973085	-4.494739884009371	0.057541126231986914	0.035639282988359285
444.38	444.34799999836036	444.44599999835816	Ti 2	0.1636788777280295	-0.71	0.02739484192928164	-4.2100857057633245	0.14262580770253944	0.03463312522222895
446.849	446.81399999830205	446.8969999983001	Ti 2	0.09878777250933518	-5.981	0.034489391151830806	-4.112475262620381	0.1622616463958565	0.03362699582722875
450.12700000000007	450.08799999822463	450.1669999982228	Ti 2	0.15310410297507934	-0.77	0.034886164231246936	-4.110681843077621	0.12938882028954213	0.032620897428519084
453.39700000000005	453.3649999981472	453.4439999981453	Ti 2	0.15044879613233572	-0.53	0.023668402276830217	-4.282309700100262	0.19294146911287713	0.031614832985342484
454.962	454.9059999981106	455.0079999981083	Ti 2	0.10923019489456348	-0.22	0.04947135764255637	-3.96362129552252	0.09432863199104866	0.03060880584589782
456.37600000000003	456.3479999980766	456.43199999807473	Ti 2	0.18906083063527326	-0.69	0.016104232496174275	-4.452382765756044	0.1626653816376109	0.02921821501341568
457.197	457.1469999980577	457.2479999980553	Ti 2	0.1614743661819912	-0.31	0.040794338860305965	-4.04950347295004	0.04788162500174611	0.02668664886755437
458.996	458.9619999980149	459.0279999980132	Ti 2	0.5212193343391825	-1.62	0.006969235935664691	-4.818623733498126	0.014553996025534893	0.02416613770535819
