waveobs	wave_base	wave_top	element	flux	error_f
376.14099999997325	376.0749999999748	376.2099999999716	Ti 2	-0.03177769108179672	0.04383888228101345
376.3849999999675	376.3399999999685	376.43399999996626	Fe 1	0.1110952052299672	0.04475258266699444
376.7259999999594	376.6699999999608	376.7549999999587	Fe 1	0.17848277888127506	0.045666337574412484
376.9419999999543	376.9409999999543	376.95099999995415	Ni2	0.41419089419221744	0.04419655047070602
377.0669999999514	377.0579999999516	377.0679999999513	H	-0.018008362077278045	0.04265340426584662
377.4369999999426	377.42799999994276	377.43799999994263	Y2	0.3338476379084239	0.041112150036865774
378.348999999921	378.32499999992166	378.37499999992036	Fe2	0.8687040409813437	0.03957300884534458
378.80099999991035	378.75799999991136	378.8209999999099	Ti 2	0.4876681515986727	0.03803623720513925
378.8739999999086	378.86499999990883	378.8749999999086	Fe 1	0.539927835189919	0.036502134397997314
379.5079999998936	379.4579999998948	379.53799999989286	Y2	0.2793395881988248	0.03542427500483922
379.79399999988686	379.78499999988713	379.79499999988684	Fe 1	0.008515418338719438	0.034411219047703334
381.46699999984736	381.41799999984846	381.50999999984634	H	0.3295331777648703	0.033398197335886316
381.58999999984434	381.5499999998453	381.62999999984345	Fe 1	0.2731718398350777	0.03238521308300789
382.0409999998337	381.9979999998348	382.1019999998323	Ti 2	0.06209664761995987	0.031372269917621286
382.454999999824	382.4049999998251	382.49099999982315	Ti 2	0.32572334467042235	0.030359371952390312
382.5959999998206	382.5499999998217	382.6459999998194	Fe 1	0.08542236739075289	0.028191681291823582
382.790999999816	382.74299999981713	382.82299999981524	Fe 1	0.3349058338869235	0.0256966582153912
382.9389999998125	382.9299999998127	382.93999999981247	Fe 1	0.19576149147357624	0.0232210658967335
383.2339999998055	383.2249999998057	383.23499999980555	Fe 1	0.0782286154522673	0.02077185277930637
383.42599999980104	383.3769999998021	383.4689999998	Fe 1	0.15393671278161036	0.018359579051624445
383.53499999979834	383.53399999979837	383.5439999997982	Mg1	0.11185499545559552	0.016000960176922114
383.8279999997915	383.8239999997916	383.8339999997913	Mg1	0.012226720221927265	0.018198589626904942
384.3069999997802	384.29799999978036	384.3079999997801	Fe 1	0.969751284627038	0.02275924241539235
385.0049999997637	384.96499999976464	385.0299999997631	H	0.6369455515884208	0.027415716889446582
385.09099999976166	385.0549999997625	385.114999999761	Mg1	1.1559268309307111	0.032126374151584064
385.64599999974854	385.5969999997496	385.6849999997476	Fe 1	0.3093899771286914	0.03687045247916602
385.829999999744	385.82499999974425	385.834999999744	Fe 1	1.195886488589064	0.04163652942110931
385.9939999997402	385.93499999974165	386.04299999973915	Zr2	0.06312391013158032	0.04311077583224432
386.56099999972685	386.5319999997275	386.590999999726	Fe 1	0.7350234962185211	0.04209615743432375
387.2569999997104	387.2039999997117	387.2919999997096	Fe 1	0.6013249717210678	0.041083210238976715
388.23899999968717	388.20999999968797	388.2639999996867	Fe 1	0.8604485436902636	0.04007206098108502
388.63699999967776	388.59399999967883	388.66699999967705	Ni2	0.09619621689465932	0.03906284928075361
388.7149999996759	388.6789999996768	388.73799999967537	Fe 1	0.3934178386375679	0.03805572928636624
388.8919999996717	388.81899999967345	388.97799999966975	Fe 1	0.054127747144741716	0.03752285532119997
389.5699999996557	389.5329999996565	389.598999999655	Fe 1	0.4068057237383945	0.037517224193797966
390.3019999996384	390.2529999996395	390.35599999963716	Fe 1	0.5927452470386761	0.03751175413147178
390.6499999996302	390.61399999963095	390.68099999962936	Fe 1	0.7637729264624155	0.037506445204692235
391.35699999961344	391.30199999961474	391.3979999996125	Ti 2	0.08878555152285905	0.03750129748189348
391.44899999961126	391.40499999961236	391.49799999961016	Fe 1	1.1994796521918072	0.03749631102946872
392.03399999959737	391.99799999959833	392.07099999959655	Fe 1	0.4797739501744198	0.03794868419341054
392.2969999995912	392.2589999995921	392.33999999959025	Fe 1	0.4120971575787359	0.0391850168304826
392.7979999995794	392.7549999995804	392.8399999995784	Fe 1	0.3853336785817228	0.040422186852849616
393.03499999957376	392.9469999995758	393.0769999995728	Fe 1	0.3054730605615191	0.041660119657721366
393.3699999995657	393.36099999956605	393.3709999995658	Ti 2	0.023725954272116326	0.042898749210112434
393.83999999955466	393.8099999995554	393.8829999995537	Fe 1	0.9750200539538406	0.04413801685232436
394.4049999995414	394.39599999954163	394.4059999995412	Fe 1	0.7578127406229279	0.04531839657005684
394.5249999995385	394.51599999953874	394.5259999995385	Ti 2	1.241087629136857	0.046374124206586834
395.03899999952637	395.0299999995266	395.03999999952634	Fe2	0.9675267630122526	0.04743077493991366
395.20099999952254	395.1919999995228	395.20199999952246	Fe 1	1.1627408731338504	0.04848828842204416
395.82799999950765	395.8189999995079	395.8289999995077	Fe 1	0.8223944087597961	0.04954660940996607
396.15599999949995	396.1469999995002	396.1569999995	Fe 1	0.5053400979852206	0.05060568724139545
398.98399999943314	398.9749999994333	398.98499999943306	Fe 1	0.9231280329682436	0.0511741009867851
399.9019999994114	399.89299999941164	399.9029999994114	Ti 2	0.9777441284274436	0.04914432245269119
400.5699999993956	400.5659999993957	400.5759999993954	Ca2	0.9392900242007122	0.047114706138407375
401.2469999993797	401.2059999993805	401.28499999937867	Fe2	0.2969963743259021	0.04508527395202186
402.84599999934176	402.8089999993426	402.87599999934105	Al1	0.8311167940337962	0.04305605192995783
403.07999999933617	403.0709999993365	403.08099999933614	Fe2	0.4598378143598808	0.041027071256763824
403.30999999933084	403.301999999331	403.31199999933074	Y2	0.5254708002325381	0.039188537100920816
