waveobs	flux	err
375.00600111680166	0.07850222874614528	0.007090164520980792
375.0121023028185	0.09433280355973488	0.007743012896836669
375.01820348883535	0.09303779051433964	0.007738502581858511
375.0243046748522	0.06860751617977363	0.006612881165049607
375.03040586086905	0.07719728920610858	0.006819468624480684
375.0365070468859	0.0911865996425003	0.0068510672551188164
375.04260823290275	0.07988319512146472	0.007419249663892726
375.0487094189196	0.0824112759616928	0.00694756027396725
375.05481060493645	0.09671013955990973	0.007209173140962811
375.0609117909533	0.08631198185559441	0.006957287610009304
375.06701297697015	0.04374252295123353	0.004763934777608315
375.073114162987	0.06390895327915484	0.006066127115839715
375.07921534900385	0.06260150598287777	0.006683971662059527
375.0853165350207	0.07569165410047984	0.006211614478566808
375.09141772103754	0.07566120671735126	0.006551466179432572
375.0975189070544	0.08490125715918191	0.007357982178756209
375.10362009307124	0.09703950328613221	0.007418275598338982
375.1097212790881	0.07037669877803576	0.006472279021404599
375.11582246510494	0.08772261301812048	0.007007365422087898
375.1219236511218	0.08219535963204207	0.007031642853137469
375.12802483713864	0.0833462109738299	0.006615325794187886
375.1341260231555	0.1030218834732483	0.007862057252322268
375.1402272091723	0.16408426000188578	0.010060359230875246
375.1463283951892	0.12555409649163823	0.008088860740361317
375.15242958120604	0.1049326906987781	0.00787352675993156
375.1585307672229	0.0767231806682393	0.006297805567894802
375.1646319532397	0.09360996148600992	0.007480070384098716
375.1707331392566	0.10409386465301083	0.007554134656002282
375.17683432527343	0.11485852158795534	0.008723323622016348
375.1829355112903	0.10257052877166695	0.007302303664426674
375.1890366973071	0.1016224732421691	0.0073726017861485554
375.195137883324	0.12797228333466054	0.008435579108195887
375.20123906934083	0.14128228868966852	0.008983305382620592
375.2073402553577	0.13558557894062306	0.008312790987163081
375.21344144137447	0.1492784133918467	0.009740995945736101
375.2195426273914	0.12716241854743118	0.0074873776024402235
375.2256438134082	0.1625858835029502	0.009821850038333432
375.2317449994251	0.15698110023445086	0.009482752240419634
375.23784618544187	0.08810989311437346	0.006696096156478305
375.2439473714588	0.07004871530028856	0.005916743144086501
375.2500485574756	0.06991212631223638	0.006232583420597279
375.2561497434925	0.11528888143494305	0.008210434878120685
375.26225092950926	0.08730385298002712	0.007081620301938898
375.26835211552617	0.06986029015634246	0.005741620148994746
375.274453301543	0.03978500739120074	0.004284077521668451
375.28055448755987	0.05098635541864251	0.005217809868745348
375.28665567357666	0.01523885640322717	0.0022752628972472215
375.29275685959357	0.039517316373130044	0.004069616062339291
375.2988580456104	0.07467349284908589	0.005940455797834498
375.30495923162727	0.06120667238701132	0.005332945240370515
375.31106041764406	0.09702713015228338	0.006791060014339033
375.31716160366096	0.10274355544093763	0.0074850070924769386
375.3232627896778	0.10734124337730495	0.00717563817251764
375.32936397569466	0.10758418485896218	0.006936837476951896
375.33546516171145	0.10475331772479218	0.0069624185918192
375.34156634772836	0.11008542432784117	0.007905865088089714
375.3476675337452	0.08618266061668207	0.0063215130226776965
375.35376871976206	0.07549471439479646	0.005779824512209034
375.35986990577885	0.034331356021789446	0.0038167505794485792
375.36597109179576	0.03672158392115587	0.003970522184726284
375.3720722778126	0.08204365689008324	0.006012262090176551
375.37817346382946	0.11592220435220242	0.007563767766547834
375.38427464984625	0.1577870877899947	0.008786455201995164
375.39037583586315	0.16600570917078009	0.008157454621232657
375.39647702188	0.1684621791763315	0.008241560614981084
375.40257820789685	0.22148662033974875	0.010258108005139176
375.40867939391364	0.2074559215686941	0.009620542700109954
375.41478057993055	0.20745421719280277	0.009561634540144429
375.4208817659474	0.21532550873031175	0.010339513501166393
375.42698295196425	0.1900169910583491	0.009071538882934514
375.43308413798104	0.1752766944722541	0.008498188878941713
375.43918532399795	0.15627890429561084	0.008258452951885407
375.4452865100148	0.1324611067296043	0.007692268403273137
375.45138769603165	0.12454571582969184	0.007157250442164072
375.45748888204844	0.11278940333691369	0.006752125444306742
375.46359006806534	0.1742456045617865	0.009213195698054396
375.4696912540822	0.19992638984281597	0.00928567544112574
375.47579244009904	0.1932344528816264	0.009391675470373473
375.48189362611583	0.21966451442867357	0.009913286819665482
375.48799481213274	0.16510656631435427	0.008625445847928164
375.4940959981496	0.2073311821130205	0.009688103976146832
375.5001971841664	0.1779528173985516	0.008517157532030332
375.50629837018323	0.17978125674423395	0.008815374584829554
375.51239955620014	0.19730441209631933	0.009147047525525705
375.518500742217	0.203592420606785	0.009741592787824811
375.5246019282338	0.20017053677179228	0.009805523102880756
375.5307031142506	0.18060528466875095	0.009095457973315601
375.53680430026753	0.1588363072151964	0.008070761953411443
375.5429054862844	0.14311216594661125	0.007810783363664208
375.5490066723012	0.13824334883120173	0.007774519782597259
375.555107858318	0.14376489211070367	0.007988065216289069
375.56120904433493	0.15511372658525324	0.007714209050480593
375.5673102303518	0.19488040411435373	0.00929664974007705
375.5734114163686	0.20955367215292287	0.00995457960992795
375.5795126023854	0.17573173752060461	0.008101275696956805
375.5856137884023	0.1725838824661885	0.008231912307720333
375.5917149744192	0.1631321794711807	0.00812664509045423
375.59781616043597	0.1493747981022687	0.00735912198273942
375.6039173464528	0.12573087078533407	0.006690172925250657
375.6100185324697	0.1155129426868812	0.006445012151730892
375.6161197184866	0.14090548531800184	0.007122956380130411
375.62222090450337	0.15300620794269018	0.007743124433206164
375.6283220905202	0.17815306205966414	0.008550508995778168
375.6344232765371	0.1770427693899263	0.008367889946140872
375.64052446255397	0.1495985517690126	0.007280884398085489
375.64662564857076	0.16935986105417347	0.007925317893649834
375.6527268345876	0.16240758586285883	0.007908019899691756
