wave_peak	wave_base	wave_top	note	flux	loggf	EW	EWR	error_f
378.335	378.3249999999217	378.37499999992036		0.8687040409813437	-3.387	0.029488856978005677	-4.108218580872124	0.007090164520980792
391.448	391.40499999961236	391.4979999996102		1.1994796521918072	-6.273	0.027277044508205887	-4.156876766149667	0.007743012896836669
393.829	393.8099999995554	393.8829999995537		0.9750200539538406	-4.073	0.015655991865410557	-4.400627105698697	0.0077385025818585106
394.521	394.51599999953874	394.5259999995385		1.2410876291368569	-4.441	0.004984123777278314	-4.898481306078457	0.006612881165049607
417.88599999999997	417.86799999898653	417.9199999989853		0.7309090421335342	-2.5	-0.01787687018604984	-4.368766335170207	0.006819468624480685
423.316	423.2489999988594	423.3819999988562		0.33875717043259873	-1.9	0.04057396427808499	-4.018417241227932	0.006851067255118816
425.816	425.7869999987993	425.87499999879714		0.6883617563742106	-3.478	0.04702040988748151	-3.9569355653390983	0.0074192496638927265
435.17600000000004	435.138999998578	435.228999998576		0.15869886099856167	-2.02	0.022367964051698764	-4.289038479869373	0.00694756027396725
452.26300000000003	452.2239999981741	452.315999998172		0.20450271042794546	-2.03	0.055824469995602394	-3.908566450700416	0.007209173140962811
455.40299999999996	455.3979999980991	455.40799999809883		0.276338022777342	-6.192	0.00842290645237779	-4.732933909936425	0.006957287610009304
458.383	458.3029999980304	458.44399999802704		0.2293230691791761	-1.86	0.00940895193501543	-4.687687252651593	0.004763934777608315
462.934	462.90999999792143	462.96899999792		0.4083327445658773	-2.33	0.005214239927505347	-4.948328067662209	0.006066127115839715
