wave_peak	wave_base	wave_top	note	flux	loggf	lower_state_eV	upper_state_eV	EW	EWR	error_f	errEWR
375.91504756189886	375.8784401556164	376.0065660776052	Ti 2	-0.021147333824774375	0.28	0.607	3.904	0.08856724888415463	-3.6278165558669504	0.04658081263425524	0.24323161837379811
376.1163882964528	376.0492747182682	376.1835018746374	Ti 2	-0.044076288393079484	0.18	0.574	3.869	0.09087327386164068	-3.6168860825714564	0.05277722872244743	0.0668284127561867
381.46106961370043	381.3817535667548	381.4671708480808	Ti 2	0.21828506560752112	-1.68	0.574	3.823	0.006245546342508083	-4.785879786990579	0.043207029379108544	0.3573825247022499
388.233439775966	388.1846299009228	388.2395410103465	Ti 2	0.48306997566456	-1.87	1.116	4.308	0.013747940259764781	-4.4508553035347855	0.03600164631058225	0.11911384806201278
391.35727177874094	391.2840569661759	391.3816767162626	Ti 2	0.03915910473400558	-0.36	1.116	4.283	0.05651814000708184	-3.8403855468957144	0.020448252093788685	0.06444351897940494
401.2473727094011	401.18025913121653	401.259575178162	Ti 2	0.08346500154719387	-1.78	0.574	3.663	0.030477067202019786	-4.119439029079969	0.05000155452034855	0.2514864568168384
402.8214911795494	402.7787825388865	402.8580985858319	Ti 2	0.24822262291803246	-0.92	1.892	4.969	0.018763121485914386	-4.331807542303394	0.044202810867692975	0.05165000773062014
416.09777719134246	416.0855747225816	416.1648907695271	Ti 2	0.3848134144678208	-2.09	1.084	4.063	0.01263961672718559	-4.517461490807586	0.04379032600705367	0.07498557333046027
417.3607327080893	417.2936191299047	417.3668339424697	Ti 2	0.19501602586266448	-1.88	1.084	4.054	0.02685810156166071	-4.1914362744098055	0.05167212484113205	0.1268570639691258
430.01469281307953	429.9353767661341	430.0574014537425	Ti 2	0.0584474672477136	-0.46	1.18	4.063	0.058914111212313436	-3.8632639646478726	0.05798061426251727	0.0006387149205392744
439.50821350901253	439.4227962276866	439.53871968091454	Ti 2	0.033662298971653466	-0.54	1.084	3.904	0.05989930134778039	-3.8655452386567193	0.04358976865470696	0.055487854323154624
440.9786109946936	439.923097446881	440.98471222907403	Ti 2	0.032134500340785584	-1.2	1.237	4.054	-0.3569679805108975	-3.091788262877375	0.05217355702843905	0.11936933518574226
