element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Fe 2	3938.293	393.8293	-4.073	1.6710	13477.524	2.5	4.8180	38859.791	2.5	6.0	1.610	1.650	AO	2.95E+08	8.470	-6.660	206.235	-7.819	206.235	1.000	0.860	62.280	d	p	F	0	2	26.1	26.000000	26.01	RU	T	T	T	T	T	T	393.8290	393.8090	393.8790		18820	18799	18869	0.000	-0.119	393.8090	393.8790	18799	18869	393.8424	0.0000	-0.0220	1.000	9999.0000	175229.0524	0.0000	0.0000	1672494573982	0.022	-0.319	0.0000	-13.85	0.0	10.2	94.2	1.146	1.000	0.0700	0.181	0.0000	0.0000	0	0.000	False	False	False
Fe 2	4178.854	417.8854	-2.500	2.5830	20833.300	2.5	5.5490	44755.704	3.5	8.0	1.580	1.290	AO	2.95E+08	8.470	-6.540	179.250	-7.883	179.250	1.000	0.880	94.160	s	p	F	0	2	26.1	26.000000	26.01	T83av  E0.	T	T	T	T	T	T	417.8860	417.8600	417.9220		42877	42850	42912	0.240	0.157	417.8820	417.8880	42872	42878	417.8875	0.0060	-0.2445	1.000	9999.0000	69995.6579	0.0141	10.1361	29577	0.244	0.050	0.0037	-5.06	36.8	5.2	89.5	0.905	1.000	0.0360	0.015	0.0000	0.0000	0	0.000	False	False	False
Fe 2	4233.162	423.3162	-1.900	2.5830	20833.300	2.5	5.5110	44449.213	3.5	8.0	1.580	1.400	AO	3.63E+08	8.560	-6.540	186.309	-7.877	186.309	1.000	0.910	140.780	s	p	F	0	2	26.1	26.000000	26.01	T83av  E0.	T	T	T	T	T	T	423.3160	423.2670	423.3660		48307	48257	48356	0.637	0.553	423.3140	423.3190	48304	48309	423.3179	0.0050	-0.6566	1.000	9999.0000	74392.7279	0.0118	8.3384	35953	0.657	0.039	0.0082	-4.71	82.3	5.0	77.0	0.478	1.000	0.0300	0.062	0.0000	0.0000	0	0.000	False	False	False
Fe 2	4258.148	425.8148	-3.478	2.7040	21809.231	1.5	5.6150	45288.030	1.5	4.0	1.720	0.450	AO	2.88E+08	8.460	-6.540	180.249	-7.880	180.249	1.000	0.740	49.320	s	p	F	0	2	26.1	26.000000	26.01	RU	T	T	T	T	T	T	425.8160	425.7860	425.8660		50807	50776	50856	0.261	0.178	425.8150	425.8190	50805	50809	425.8182	0.0040	-0.2728	1.000	9999.0000	110686.7885	0.0094	6.6315	45207	0.273	0.033	0.0027	-5.19	27.3	2.3	136.2	0.799	1.000	0.0240	0.020	0.0000	0.0000	0	0.000	False	False	False
Cr 1	4351.762	435.1762	-0.480	1.0300	8307.510	4.0	3.8780	31278.180	5.0	11.0	1.500	1.400	AO	1.32E+07	7.120	-5.780	252.244	-7.733	252.244	1.000	0.910	131.570	s	p	F	0	1	24.0	24.000000	24.00	SLS    E 0	T	T	T	T	T	T	435.1760	435.1330	435.2260		60167	60123	60216	0.814	0.730	435.1740	435.1790	60164	60169	435.1777	0.0050	-0.8378	1.000	9999.0000	0.0093	0.0118	8.1111	36961	0.838	0.058	0.0105	-4.62	105.0	4.6	87.7	0.309	1.000	0.0300	0.068	0.0000	0.0000	0	0.000	False	False	False
Fe 2	4522.628	452.2628	-2.030	2.8440	22938.407	2.5	5.5850	45046.063	1.5	4.0	1.020	1.150	AO	3.63E+08	8.560	-6.530	186.300	-7.875	186.300	1.000	0.860	112.990	s	p	F	0	2	26.1	26.000000	26.01	KK     E0.	T	T	T	T	T	T	452.2630	452.2140	452.3130		77254	77204	77303	0.767	0.683	452.2610	452.2670	77251	77257	452.2656	0.0060	-0.7956	1.000	9999.0000	0.0043	0.0141	9.3656	32010	0.796	0.057	0.0120	-4.58	119.7	5.1	91.7	0.350	1.000	0.0360	0.067	0.0000	0.0000	0	0.000	False	False	False
Fe 2	4583.829	458.3829	-1.860	2.8070	22639.982	4.5	5.5110	44449.213	3.5	8.0	1.310	1.400	AO	3.63E+08	8.560	-6.530	185.307	-7.879	185.307	1.000	0.870	130.300	s	p	F	0	2	26.1	26.000000	26.01	T83av  E0.	T	T	T	T	T	T	458.3830	458.3830	458.4330		83374	83374	83423	0.758	0.675	458.3840	458.4330	83374	83423	458.3888	0.0273	-0.7709	1.000	9999.0000	0.0118	0.0644	42.0993	7121	0.771	0.460	0.0528	-3.94	528.2	16.6	107.3	0.635	1.000	0.1640	0.034	0.0000	0.0000	0	0.000	False	False	False
Fe 2	4629.331	462.9331	-2.330	2.8070	22639.982	4.5	5.4840	44231.443	4.5	10.0	1.310	1.320	AO	2.88E+08	8.460	-6.530	178.257	-7.886	178.257	1.000	0.840	96.570	s	p	F	0	2	26.1	26.000000	26.01	T83av  E0.	T	T	T	T	T	T	462.9340	462.9060	462.9790		87925	87896	87969	0.578	0.495	462.9290	462.9370	87919	87927	462.9347	0.0080	-0.5989	1.000	9999.0000	0.0072	0.0188	12.1997	24574	0.599	0.054	0.0120	-4.59	120.1	5.0	117.5	0.592	1.000	0.0480	0.035	0.0000	0.0000	0	0.000	False	False	False
