element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Fe 1	3872.501	387.2501	-0.928	0.9900	7984.889	2.0	4.1910	33802.695	2.0	5.0	1.000	1.500	AO	1.95E+08	8.290	-6.160	280.264	-7.691	280.264	1.000	1.000	640.150	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	387.2500	387.2010	387.3000		12241	12191	12290	0.368	0.296	387.2470	387.2530	12237	12243	387.2527	0.0024	-0.0081	1.000	0.0060	0.0153	0.0145	11.2307	26694	0.381	0.141	0.0061	-4.80	60.8	2.1	62.5	0.728	1.000	0.0147	0.003	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3886.282	388.6282	-1.076	0.0520	419.408	3.0	3.2410	26140.428	3.0	7.0	1.500	1.500	AO	1.45E+07	7.160	-6.220	230.247	-7.773	230.247	1.000	1.000	1385.310	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	388.6280	388.5790	388.6390		13619	13569	13629	0.865	0.792	388.6280	388.6310	13618	13621	388.6280	0.0030	-0.0135	1.000	0.0030	0.0108	0.0108	8.3254	36009	0.938	0.076	0.0120	-4.51	120.2	5.5	28.1	0.176	1.000	0.0180	0.080	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3887.048	388.7048	-1.144	0.9150	7379.973	4.0	4.1030	33092.927	4.0	9.0	1.350	1.500	AO	1.95E+08	8.290	-6.160	272.257	-7.702	272.257	1.000	1.000	539.770	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	388.7050	388.7050	388.7550		13696	13695	13745	0.572	0.499	388.7050	388.7550	13695	13745	388.7108	0.0000	-0.0547	1.000	0.0292	0.0075	0.0583	44.9790	6665	0.597	0.362	0.0000	-11.73	0.0	15.8	52.3	0.583	1.000	0.0500	0.033	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3888.513	388.8513	-0.548	1.6080	12969.395	2.0	4.7960	38682.349	2.0	5.0	0.670	1.150	AO	1.58E+08	8.200	-5.890	346.246	-7.596	346.246	1.000	1.000	560.940	s	p	F	0	1	26.0	26.000000	26.00	BWL    E 0	T	T	T	T	T	T	388.8520	388.8120	388.9020		13843	13802	13892	0.706	0.633	388.8120	388.9020	13802	13892	388.8884	0.0468	-0.1094	1.000	0.0000	7309.8299	0.1103	85.0227	3526	0.932	0.642	0.1094	-3.55	1093.8	57.2	50.9	0.533	1.000	0.2810	0.018	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3895.656	389.5656	-1.670	0.1100	887.210	1.0	3.2920	26551.771	0.0	1.0	1.500	0.000	AO	1.38E+07	7.140	-6.220	233.247	-7.768	233.247	1.000	1.000	667.100	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	389.5660	389.5200	389.6160		14557	14510	14606	0.560	0.488	389.5650	389.5730	14555	14563	389.5706	0.0080	-0.0227	1.000	0.0080	0.0073	0.0288	22.1473	13536	0.593	0.059	0.0203	-4.28	202.6	6.0	69.1	0.831	1.000	0.0480	0.003	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3906.479	390.6479	-2.243	0.1100	887.210	1.0	3.2830	26479.181	1.0	3.0	1.500	1.500	AO	1.38E+07	7.140	-6.220	233.247	-7.768	233.247	1.000	1.000	354.330	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	390.6450	390.6120	390.6860		15636	15602	15676	0.202	0.130	390.6440	390.6510	15634	15641	390.6501	0.0047	-0.0066	1.000	0.0070	0.0103	0.0204	15.6597	19144	0.233	0.052	0.0056	-4.84	55.9	3.8	84.4	0.981	1.000	0.0283	0.003	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3920.258	392.0258	-1.746	0.1210	975.931	0.0	3.2830	26479.181	1.0	3.0	0.000	1.500	AO	1.38E+07	7.140	-6.220	233.247	-7.768	233.247	1.000	1.000	609.200	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	392.0260	391.9950	392.0710		17017	16985	17061	0.457	0.384	392.0250	392.0290	17015	17019	392.0287	0.0040	-0.0093	1.000	0.0040	0.0074	0.0144	11.0042	27243	0.486	0.076	0.0083	-4.67	83.0	3.6	66.3	0.745	1.000	0.0240	0.007	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3930.297	393.0297	-1.491	0.0870	701.702	2.0	3.2410	26140.428	3.0	7.0	1.500	1.500	AO	1.45E+07	7.160	-6.220	231.247	-7.771	231.247	1.000	1.000	842.250	s	p	F	0	1	26.0	26.000000	26.00	BWL    E 0	T	T	T	F	T	T	393.0300	392.9810	393.0800		18021	17971	18070	0.633	0.561	392.9810	393.0800	17971	18070	393.0359	0.0001	-0.0000	1.000	0.0720	0.0013	0.1441	109.8923	2728	0.000	-0.192	0.0000	-15.02	0.0	18.0	82.8	0.787	1.000	0.0990	0.362	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4045.812	404.5812	0.280	1.4850	11977.333	4.0	4.5490	36690.160	4.0	9.0	1.250	1.250	AO	1.17E+08	8.070	-6.090	316.260	-7.638	316.260	1.000	1.000	1634.010	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	T	T	T	404.5820	404.5350	404.6320		29573	29525	29622	0.867	0.794	404.5820	404.5850	29572	29575	404.5820	0.0030	-0.0135	1.000	0.0030	0.0164	0.0108	7.9971	37488	0.941	0.082	0.0121	-4.53	120.6	3.0	47.1	0.209	1.000	0.0180	0.083	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4063.594	406.3594	0.062	1.5570	12558.052	3.0	4.6080	37166.027	3.0	7.0	1.090	1.090	AO	1.20E+08	8.080	-6.240	323.255	-7.627	323.255	1.000	1.000	1195.880	s	p	F	0	1	26.0	26.000000	26.00	BWL    E 0	T	T	T	T	T	T	406.3600	406.3110	406.4100		31351	31301	31400	0.741	0.668	406.3570	406.3670	31347	31357	406.3646	0.0100	-0.0370	1.000	0.0100	0.0051	0.0360	26.5401	11296	0.772	0.084	0.0330	-4.09	329.9	4.0	102.6	0.739	1.000	0.0600	0.009	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4071.738	407.1738	-0.022	1.6080	12969.395	2.0	4.6520	37520.911	2.0	5.0	0.670	0.690	AO	1.17E+08	8.070	-6.240	329.252	-7.619	329.252	1.000	1.000	1039.600	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	T	T	T	407.1740	407.1740	407.2240		32165	32165	32214	0.702	0.629	407.1750	407.2240	32165	32214	407.1822	0.0143	-0.0264	1.000	0.0000	0.0017	0.0336	24.7584	12109	0.736	0.682	0.0264	-4.19	263.6	7.6	115.6	0.849	1.000	0.0857	0.037	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4202.029	420.2029	-0.708	1.4850	11977.333	4.0	4.4350	35770.688	4.0	9.0	1.250	1.100	AO	9.77E+07	7.990	-6.080	306.265	-7.653	306.265	1.000	1.000	545.220	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	T	T	T	420.2030	420.1540	420.2530		45194	45144	45243	0.434	0.361	420.2010	420.2050	45191	45195	420.2041	0.0040	-0.0084	1.000	0.0040	0.0148	0.0144	10.2664	29201	0.439	0.046	0.0075	-4.75	75.1	2.4	110.0	0.668	1.000	0.0240	0.009	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4271.760	427.1760	-0.164	1.4850	11977.333	4.0	4.3870	35383.542	5.0	11.0	1.250	1.250	AO	1.05E+08	8.020	-6.070	301.266	-7.660	301.266	1.000	1.000	1013.740	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	T	T	T	427.1760	427.1340	427.2260		52167	52124	52216	0.782	0.710	427.1750	427.1800	52165	52170	427.1782	0.0050	-0.0193	1.000	0.0050	0.0075	0.0180	12.6235	23749	0.807	0.053	0.0173	-4.39	172.5	2.9	84.8	0.378	1.000	0.0300	0.015	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4294.124	429.4124	-1.110	1.4850	11977.333	4.0	4.3710	35254.493	4.0	9.0	1.250	1.100	AO	1.12E+08	8.050	-6.060	300.266	-7.661	300.266	1.000	0.970	354.670	s	p	F	0	1	26.0	26.000000	26.00	BWL    E 0	T	T	T	T	T	T	429.4100	429.3610	429.4600		54401	54351	54450	0.827	0.755	429.4070	429.4120	54397	54402	429.4105	0.0050	-0.0199	1.000	0.0050	0.0037	0.0180	12.5578	23873	0.832	0.066	0.0178	-4.38	177.8	2.6	88.7	0.381	1.000	0.0300	0.016	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4307.902	430.7902	-0.073	1.5570	12558.052	3.0	4.4350	35770.688	4.0	9.0	1.090	1.100	AO	9.77E+07	7.990	-6.080	306.263	-7.652	306.263	1.000	1.000	1056.120	s	p	F	0	1	26.0	26.000000	26.00	BWL    E 0	T	T	T	T	T	T	430.7900	430.7410	430.8400		55781	55731	55830	0.862	0.790	430.7870	430.7930	55777	55783	430.7905	0.0060	-0.0253	1.000	0.0060	0.0090	0.0216	15.0211	19958	0.879	0.044	0.0225	-4.28	225.4	3.3	81.8	0.343	1.000	0.0360	0.017	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4383.544	438.3544	0.200	1.4850	11977.333	4.0	4.3130	34786.691	5.0	11.0	1.250	1.220	AO	1.02E+08	8.010	-6.080	295.265	-7.669	295.265	1.000	1.000	1555.300	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	T	T	T	438.3550	438.3060	438.4050		63346	63296	63395	0.904	0.832	438.3530	438.3570	63343	63347	438.3553	0.0040	-0.0177	1.000	0.0040	0.0054	0.0144	9.8413	30463	0.924	0.042	0.0158	-4.44	157.9	3.0	69.5	0.178	1.000	0.0240	0.020	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4404.750	440.4750	-0.142	1.5570	12558.052	3.0	4.3710	35254.493	4.0	9.0	1.090	1.100	AO	1.12E+08	8.050	-6.060	301.263	-7.659	301.263	1.000	1.000	988.850	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	T	T	T	440.4750	440.4260	440.5250		65466	65416	65515	0.801	0.729	440.4750	440.4790	65465	65469	440.4773	0.0040	-0.0160	1.000	0.0040	0.0104	0.0144	9.7939	30610	0.833	0.039	0.0142	-4.49	142.4	2.6	82.9	0.260	1.000	0.0240	0.019	0.0000	0.0000	0	0.000	False	False	False
