Julian_day,WE
2458785.0,0.0006564371668638103
2458790.0,0.00847866961010979
2458791.0,0.007166392571152258
2458797.0,0.002529515316177733
2458798.0,0.001656148699293425
2458802.0,0.007662706260457952
2458803.0,0.010098326884773634
2458806.0,0.01508553567989157
2458807.0,0.020646242293656858
2458808.0,0.02045119260256989
2458809.0,0.013654640250837069
2458810.0,0.018371222335554993
2458811.0,0.009193386475692122
2458812.0,0.014421733501154055
2458812.0,0.012492083579440205
2458813.0,0.014244530664732746
2458814.0,0.0016785392367202334
2458815.0,0.007961306743743624
2458816.0,0.010240003307102619
2458817.0,0.011879152521979908
2458818.0,0.011771459924428296
2458819.0,0.00573573903525082
2458820.0,0.007743566953022363
